property_type_location,Property,price,relative_url,property_status,last_updated,num_bedrooms,num_bathrooms,num_parking,area,furnishing,counting,scraped_date
Condominium • Taguig,"Grand Hyatt Manila Residences, BGC - Bonifacio Global City, Taguig","Php 150,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-grand-hyatt-manila-residences-rs4729181,Available,"April 17, 2023",3,3,3,300 sqm,Fully Furnished,683,2024-10-26
Condominium • Taguig,"The Sequoia at Two Serendra, BGC - Bonifacio Global City, Taguig","Php 16,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-the-sequoia-at-two-serendra-rs4728181,Available,"April 14, 2023",1,1,1,67 sqm,Fully Furnished,684,2024-10-26
Condominium • Taguig,"The Suites at One Bonifacio High Street, BGC - Bonifacio Global City, Taguig","Php 160,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-the-suites-at-one-bonifacio-high-street-rs4555981,Available,"May 14, 2023",3,3,2,250 sqm,Fully Furnished,685,2024-10-26
Condominium • Taguig,"8 Forbes Town Road, BGC - Bonifacio Global City, Taguig","Php 35,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-8-forbes-town-road-rs4448781,Available,"May 17, 2023",2,2,1,95 sqm,Fully Furnished,686,2024-10-26
Condominium • Taguig,"Sequoia Tower, The Sequoia at Two Serendra, BGC - Bonifacio Global City, Taguig","Php 17,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-the-sequoia-at-two-serendra-rs4753281,Available,"May 29, 2023",1,1,1,67 sqm,,687,2024-10-26
Condominium • Taguig,"The Montane Tower, The Montane, BGC - Bonifacio Global City, Taguig","Php 10,500,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-the-montane-rs4668581,Available,"November 29, 2022",1,1,1,36 sqm,,688,2024-10-26
Condominium • Taguig,"Towe 5 Tower, Forbeswood Heights, BGC - Bonifacio Global City, Taguig","Php 13,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-forbeswood-heights-rs4755981,Available,"June 3, 2023",1,1,1,59 sqm,Fully Furnished,689,2024-10-26
Condominium • Taguig,"Forbeswood Parklane, BGC - Bonifacio Global City, Taguig","Php 13,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-forbeswood-parklane-rs4758581,Available,"June 12, 2023",1,1,1,45 sqm,Fully Furnished,690,2024-10-26
Condominium • Taguig,"Tower 5, Forbeswood Heights, BGC - Bonifacio Global City, Taguig","Php 8,900,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-forbeswood-heights-rs4750481,Available,"June 3, 2023",1,1,1,48 sqm,Fully Furnished,691,2024-10-26
Condominium • Taguig,"Icon Plaza, BGC - Bonifacio Global City, Taguig","Php 17,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-icon-plaza-rs4749981,Available,"June 3, 2023",1,1,1,60 sqm,Fully Furnished,692,2024-10-26
Condominium • Taguig,"Firenze Tower, Tuscany Private Estates, McKinley Hill, Taguig","Php 18,500,000",https://www.hoppler.com.ph/taguig-mckinley-hill-tuscany-private-estates-rs4670881,Available,"December 6, 2022",2,2,1,92 sqm,Fully Furnished,693,2024-10-26
Condominium • Taguig,"Wisteria Bldg. Tower, Verawood Residences, Bambang, Taguig","Php 9,000,000",https://www.hoppler.com.ph/taguig-bambang-verawood-residences-rs4420981,Available,"December 1, 2022",3,2,1,99 sqm,Fully Furnished,694,2024-10-26
Condominium • Taguig,"Park West, BGC - Bonifacio Global City, Taguig","Php 18,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-park-west-rs4675381,Available,"January 4, 2023",2,2,1,70 sqm,Fully Furnished,695,2024-10-26
Condominium • Taguig,"Uptown Ritz, BGC - Bonifacio Global City, Taguig","Php 27,500,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-uptown-ritz-rs4552781,Available,"December 27, 2022",2,3,1,93 sqm,Semi-Furnished,696,2024-10-26
Condominium • Taguig,"Tower 3, The Trion Towers, BGC - Bonifacio Global City, Taguig","Php 20,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-the-trion-towers-rs4589381,Available,"December 12, 2022",2,2,2,94 sqm,Fully Furnished,697,2024-10-26
Condominium • Taguig,"Uptown Ritz Residence Tower, Uptown Ritz, BGC - Bonifacio Global City, Taguig","Php 42,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-uptown-ritz-rs4545581,Available,"December 27, 2022",4,3,1,131 sqm,Fully Furnished,698,2024-10-26
Condominium • Taguig,"West Tower, One Serendra, BGC - Bonifacio Global City, Taguig","Php 63,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-one-serendra-rs4356281,Available,"January 2, 2023",2,3,1,140 sqm,Fully Furnished,699,2024-10-26
Condominium • Taguig,"Tower 2, The Trion Towers, BGC - Bonifacio Global City, Taguig","Php 22,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-the-trion-towers-rs4504581,Available,"January 5, 2023",2,2,2,92 sqm,Semi-Furnished,700,2024-10-26
Condominium • Taguig,"Two Maridien, BGC - Bonifacio Global City, Taguig","Php 27,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-two-maridien-rs4430081,Available,"January 10, 2023",2,2,1,107 sqm,Semi-Furnished,701,2024-10-26
Condominium • Taguig,"Bellagio II, BGC - Bonifacio Global City, Taguig","Php 13,200,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-bellagio-ii-rs4681281,Available,"January 17, 2023",1,1,1,61 sqm,Fully Furnished,702,2024-10-26
Condominium • Taguig,"Montane Condominium  Tower, The Montane, BGC - Bonifacio Global City, Taguig","Php 10,763,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-the-montane-rs4686881,Available,"January 30, 2023",1,1,1,36 sqm,,703,2024-10-26
Condominium • Taguig,"Tower 2, Icon Residences, BGC - Bonifacio Global City, Taguig","Php 16,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-icon-residences-rs4682581,Available,"January 18, 2023",1,1,1,61 sqm,Fully Furnished,704,2024-10-26
Condominium • Taguig,"Almond Tower, The Dolce at Two Serendra, BGC - Bonifacio Global City, Taguig","Php 8,500,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-the-dolce-at-two-serendra-rs4682981,Available,"January 20, 2023",1,1,1,42 sqm,Fully Furnished,705,2024-10-26
Condominium • Taguig,"Almond Tower, The Callery - Two Serendra, BGC - Bonifacio Global City, Taguig","Php 11,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-the-callery-two-serendra-rs4685081,Available,"January 24, 2023",1,1,1,42 sqm,Fully Furnished,706,2024-10-26
Condominium • Taguig,"Spanish Tower, Bonifacio Ridge, BGC - Bonifacio Global City, Taguig","Php 30,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-bonifacio-ridge-rs2829381,Available,"January 31, 2023",2,2,1,113 sqm,Fully Furnished,707,2024-10-26
Condominium • Taguig,"Tower 1 , Stamford Executive Residence, McKinley Hill, Taguig","Php 6,700,000",https://www.hoppler.com.ph/taguig-mckinley-hill-stamford-executive-residence-rs4629681,Available,"January 25, 2023",1,1,1,30 sqm,Fully Furnished,708,2024-10-26
Condominium • Taguig,"Cluster C Tower, McKinley Hill Garden Villas, McKinley Hill, Taguig","Php 30,000,000",https://www.hoppler.com.ph/taguig-mckinley-hill-mckinley-hill-garden-villas-rs4628181,Available,"September 21, 2022",2,2,2,98 sqm,Fully Furnished,709,2024-10-26
Condominium • Taguig,"Tower 2, Avida Towers One Union Place, Arca South, Taguig","Php 4,200,000",https://www.hoppler.com.ph/taguig-arca-south-avida-towers-one-union-place-rs4527781,Available,"September 19, 2022",1,1,1,22 sqm,,710,2024-10-26
Condominium • Taguig,"Avida Towers 34th, Avida Towers 34th Street BGC, BGC - Bonifacio Global City, Taguig","Php 7,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-avida-towers-34th-street-bgc-rs4630681,Available,"September 27, 2022",1,1,1,36 sqm,Semi-Furnished,711,2024-10-26
Condominium • Taguig,"Penhurst Parkplace Tower, Penhurst Parkplace, BGC - Bonifacio Global City, Taguig","Php 24,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-penhurst-parkplace-rs4632881,Available,"September 30, 2022",3,2,1,95 sqm,Fully Furnished,712,2024-10-26
Condominium • Taguig,"Avant at the Fort Tower, Avant at the Fort, BGC - Bonifacio Global City, Taguig","Php 16,500,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-avant-at-the-fort-rs3349981,Available,"October 12, 2022",2,1,2,65 sqm,Fully Furnished,713,2024-10-26
Condominium • Taguig,"Tower 2 , Tuscany Private Estates, McKinley Hill, Taguig","Php 15,500,000",https://www.hoppler.com.ph/taguig-mckinley-hill-tuscany-private-estates-rs4538781,Available,"September 19, 2022",2,2,1,92 sqm,Fully Furnished,714,2024-10-26
Condominium • Taguig,"Tower 1, Arbor Lanes, Arca South, Taguig","Php 45,000,000",https://www.hoppler.com.ph/taguig-arca-south-arbor-lanes-rs4641581,Available,"October 11, 2022",2,2,2,142 sqm,,715,2024-10-26
Condominium • Taguig,"North Wing Tower, One Uptown Residence, BGC - Bonifacio Global City, Taguig","Php 9,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-one-uptown-residence-rs3351281,Available,"October 12, 2022",1,1,1,36 sqm,Fully Furnished,716,2024-10-26
Condominium • Taguig,"The Fort Residences Tower, The Fort Residences, BGC - Bonifacio Global City, Taguig","Php 19,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-the-fort-residences-rs4640481,Available,"October 13, 2022",2,1,2,69 sqm,Semi-Furnished,717,2024-10-26
Condominium • Taguig,"Tower 3, Morgan Suites Executive Residences, McKinley Hill, Taguig","Php 5,900,000",https://www.hoppler.com.ph/taguig-mckinley-hill-morgan-suites-executive-residences-rs4642081,Available,"October 12, 2022",1,1,1,25 sqm,Semi-Furnished,718,2024-10-26
Condominium • Taguig,"Tower 1, Stamford Executive Residence, McKinley Hill, Taguig","Php 3,900,000",https://www.hoppler.com.ph/taguig-mckinley-hill-stamford-executive-residence-rs4642281,Available,"October 12, 2022",1,1,1,22 sqm,Fully Furnished,719,2024-10-26
Condominium • Taguig,"Tower 2, Morgan Suites Executive Residences, McKinley Hill, Taguig","Php 3,000,000",https://www.hoppler.com.ph/taguig-mckinley-hill-morgan-suites-executive-residences-rs4642181,Available,"October 12, 2022",1,1,1,25 sqm,Semi-Furnished,720,2024-10-26
Condominium • Taguig,"Avida Towers Turf, BGC - Bonifacio Global City, Taguig","Php 15,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-avida-towers-turf-rs4644181,Available,"October 13, 2022",2,1,2,56 sqm,,721,2024-10-26
Condominium • Taguig,"Avida Towers Turf, BGC - Bonifacio Global City, Taguig","Php 10,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-avida-towers-turf-rs4644081,Available,"October 13, 2022",1,1,1,36 sqm,,722,2024-10-26
Condominium • Taguig,"Icon Residences, BGC - Bonifacio Global City, Taguig","Php 25,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-icon-residences-rs4652781,Available,"October 25, 2022",1,2,1,122 sqm,Fully Furnished,723,2024-10-26
Condominium • Taguig,"Tower C, Fort Victoria, BGC - Bonifacio Global City, Taguig","Php 8,500,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-fort-victoria-rs4536881,Available,"October 28, 2022",1,1,1,44 sqm,Semi-Furnished,724,2024-10-26
Condominium • Taguig,"The Sapphire Residences, BGC - Bonifacio Global City, Taguig","Php 30,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-the-sapphire-residences-rs4595381,Available,"July 23, 2022",3,3,2,130 sqm,Semi-Furnished,725,2024-10-26
Condominium • Taguig,"Seville  Tower, Tres Palmas, Ususan, Taguig","Php 10,000,000",https://www.hoppler.com.ph/taguig-ususan-tres-palmas-rs4063781,Available,"July 28, 2022",3,2,2,94 sqm,Fully Furnished,726,2024-10-26
Condominium • Taguig,"Tower 2, Grand Hamptons II, BGC - Bonifacio Global City, Taguig","Php 16,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-grand-hamptons-ii-rs4600781,Available,"August 2, 2022",2,2,2,78 sqm,Fully Furnished,727,2024-10-26
Condominium • Taguig,"Viceroy, McKinley Hill, Taguig","Php 3,950,000",https://www.hoppler.com.ph/taguig-mckinley-hill-viceroy-rs4656981,Available,"November 3, 2022",1,1,1,23 sqm,Fully Furnished,728,2024-10-26
Condominium • Taguig,"Bellagio III, BGC - Bonifacio Global City, Taguig","Php 23,100,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-bellagio-iii-rs4601081,Available,"August 3, 2022",1,2,1,92 sqm,Fully Furnished,729,2024-10-26
Condominium • Taguig,"Tower 1, Viceroy, McKinley Hill, Taguig","Php 10,500,000",https://www.hoppler.com.ph/taguig-mckinley-hill-viceroy-rs4602381,Available,"August 5, 2022",2,2,2,56 sqm,,730,2024-10-26
Condominium • Taguig,"Granada  Tower, Vista De Lago, Tuktukan, Taguig","Php 3,750,000",https://www.hoppler.com.ph/taguig-tuktukan-vista-de-lago-rs4499081,Available,"October 27, 2022",2,1,2,55 sqm,Semi-Furnished,731,2024-10-26
Condominium • Taguig,"Lime Tower, Verawood Residences, Bambang, Taguig","Php 5,700,000",https://www.hoppler.com.ph/taguig-bambang-verawood-residences-rs4600981,Available,"August 2, 2022",2,1,2,56 sqm,,732,2024-10-26
Condominium • Taguig,"Spanish Bay Tower, Bonifacio Ridge, BGC - Bonifacio Global City, Taguig","Php 30,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-bonifacio-ridge-rs2644381,Available,"September 1, 2022",3,2,2,113 sqm,Fully Furnished,733,2024-10-26
Condominium • Taguig,"Tower 6, Forbeswood Heights, BGC - Bonifacio Global City, Taguig","Php 10,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-forbeswood-heights-rs4604281,Available,"August 10, 2022",2,2,1,59 sqm,Fully Furnished,734,2024-10-26
Condominium • Taguig,"Tower 2, Verve Residences, BGC - Bonifacio Global City, Taguig","Php 15,800,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-verve-residences-rs4551081,Available,"September 1, 2022",1,1,1,61 sqm,,735,2024-10-26
Condominium • Taguig,"Lawton Tower, Essensa, BGC - Bonifacio Global City, Taguig","Php 75,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-essensa-rs4396881,Available,"August 26, 2022",3,3,2,292 sqm,Semi-Furnished,736,2024-10-26
Condominium • Taguig,"Cluster 6 Tower, Tuscany Private Estates, McKinley Hill, Taguig","Php 12,500,000",https://www.hoppler.com.ph/taguig-mckinley-hill-tuscany-private-estates-rs4609581,Available,"September 1, 2022",1,1,1,61 sqm,Fully Furnished,737,2024-10-26
Condominium • Taguig,"Tower 2, Two Maridien, BGC - Bonifacio Global City, Taguig","Php 16,500,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-two-maridien-rs4617681,Available,"September 1, 2022",1,1,1,60 sqm,Semi-Furnished,738,2024-10-26
Condominium • Taguig,"Cameron Tower, Essensa, BGC - Bonifacio Global City, Taguig","Php 80,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-essensa-rs0369781,Available,"August 12, 2022",3,3,2,290 sqm,Semi-Furnished,739,2024-10-26
Condominium • Taguig,"Pine Tower, Arbor Lanes, Arca South, Taguig","Php 45,000,000",https://www.hoppler.com.ph/taguig-arca-south-arbor-lanes-rs4615081,Available,"August 30, 2022",3,3,2,172 sqm,Semi-Furnished,740,2024-10-26
Condominium • Taguig,"Avida Towers One Union Place, Arca South, Taguig","Php 3,000,000",https://www.hoppler.com.ph/taguig-arca-south-avida-towers-one-union-place-rs4610281,Available,"August 18, 2022",1,1,1,23 sqm,,741,2024-10-26
Condominium • Taguig,"Tower 2, Morgan Suites Executive Residences, McKinley Hill, Taguig","Php 3,000,000",https://www.hoppler.com.ph/taguig-mckinley-hill-morgan-suites-executive-residences-rs4412281,Available,"August 9, 2022",1,1,1,23 sqm,Fully Furnished,742,2024-10-26
Condominium • Taguig,"McKinley Park Residences, BGC - Bonifacio Global City, Taguig","Php 8,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-mckinley-park-residences-rs4619981,Available,"September 8, 2022",1,1,1,40 sqm,Semi-Furnished,743,2024-10-26
Condominium • Taguig,"North Tower, One McKinley Place, BGC - Bonifacio Global City, Taguig","Php 20,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-one-mckinley-place-rs4625481,Available,"September 16, 2022",1,1,1,76 sqm,Fully Furnished,744,2024-10-26
Condominium • Taguig,"Karon Tower, Royal Palm Residences, Ususan, Taguig","Php 6,000,000",https://www.hoppler.com.ph/taguig-ususan-royal-palm-residences-rs4158381,Available,"September 6, 2022",2,1,1,50 sqm,Fully Furnished,745,2024-10-26
Condominium • Taguig,"Tower 2, Avida CityFlex Towers, BGC - Bonifacio Global City, Taguig","Php 7,500,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-avida-cityflex-towers-rs4336081,Available,"September 6, 2022",1,1,1,39 sqm,Fully Furnished,746,2024-10-26
Condominium • Taguig,"Maridien Tower, Two Maridien, BGC - Bonifacio Global City, Taguig","Php 12,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-two-maridien-rs4624081,Available,"September 15, 2022",1,1,1,36 sqm,Fully Furnished,747,2024-10-26
Condominium • Taguig,"Tower 2 , Avida CityFlex Towers, BGC - Bonifacio Global City, Taguig","Php 7,500,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-avida-cityflex-towers-rs4336181,Available,"September 6, 2022",1,1,1,39 sqm,Fully Furnished,748,2024-10-26
Condominium • Taguig,"Tower 2, Viceroy, McKinley Hill, Taguig","Php 4,500,000",https://www.hoppler.com.ph/taguig-mckinley-hill-viceroy-rs4543381,Available,"April 21, 2022",1,1,1,23 sqm,Fully Furnished,749,2024-10-26
Condominium • Taguig,"Park West, BGC - Bonifacio Global City, Taguig","Php 15,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-park-west-rs4551181,Available,"May 5, 2022",1,1,1,36 sqm,Fully Furnished,750,2024-10-26
Condominium • Taguig,"Tower 1, Viceroy, McKinley Hill, Taguig","Php 6,500,000",https://www.hoppler.com.ph/taguig-mckinley-hill-viceroy-rs4546981,Available,"April 25, 2022",1,1,1,26 sqm,Fully Furnished,751,2024-10-26
Condominium • Taguig,"Tower 2, Uptown Parksuites, BGC - Bonifacio Global City, Taguig","Php 13,500,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-uptown-parksuites-rs4560581,Available,"May 13, 2022",1,1,1,38 sqm,,752,2024-10-26
Condominium • Taguig,"Tower 3, Morgan Suites Executive Residences, McKinley Hill, Taguig","Php 6,500,000",https://www.hoppler.com.ph/taguig-mckinley-hill-morgan-suites-executive-residences-rs4547581,Available,"April 25, 2022",1,1,1,40 sqm,,753,2024-10-26
Condominium • Taguig,"Tower 1, Morgan Suites Executive Residences, McKinley Hill, Taguig","Php 10,000,000",https://www.hoppler.com.ph/taguig-mckinley-hill-morgan-suites-executive-residences-rs4556681,Available,"May 10, 2022",1,1,1,40 sqm,Fully Furnished,754,2024-10-26
Condominium • Taguig,"The Montane, BGC - Bonifacio Global City, Taguig","Php 7,900,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-the-montane-rs4559981,Available,"May 13, 2022",1,1,1,37 sqm,,755,2024-10-26
Condominium • Taguig,"Tower 1, Stamford Executive Residence, McKinley Hill, Taguig","Php 5,520,000",https://www.hoppler.com.ph/taguig-mckinley-hill-stamford-executive-residence-rs4561281,Available,"May 16, 2022",1,1,1,24 sqm,Fully Furnished,756,2024-10-26
Condominium • Taguig,"Aki Tower, The Seasons Residences, BGC - Bonifacio Global City, Taguig","Php 26,200,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-the-seasons-residences-rs4448081,Available,"May 28, 2022",2,2,2,62 sqm,,757,2024-10-26
Condominium • Taguig,"Tower C, Grace Residences, Ususan, Taguig","Php 3,485,000",https://www.hoppler.com.ph/taguig-ususan-grace-residences-rs4547781,Available,"April 25, 2022",1,1,1,22 sqm,,758,2024-10-26
Condominium • Taguig,"Tower 2, Uptown Parksuites, BGC - Bonifacio Global City, Taguig","Php 13,500,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-uptown-parksuites-rs4562681,Available,"May 31, 2022",1,1,1,46 sqm,Semi-Furnished,759,2024-10-26
Condominium • Taguig,"Tower B, Fort Victoria, BGC - Bonifacio Global City, Taguig","Php 10,100,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-fort-victoria-rs4572581,Available,"June 9, 2022",2,2,2,45 sqm,Semi-Furnished,760,2024-10-26
Condominium • Taguig,"Tower 1, Uptown Parksuites, BGC - Bonifacio Global City, Taguig","Php 9,300,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-uptown-parksuites-rs4022081,Available,"June 13, 2022",1,1,1,37 sqm,Semi-Furnished,761,2024-10-26
Condominium • Taguig,"8 Forbestown Road Tower, 8 Forbes Town Road, BGC - Bonifacio Global City, Taguig","Php 11,500,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-8-forbes-town-road-rs4041781,Available,"January 6, 2022",1,1,1,46 sqm,Semi-Furnished,762,2024-10-26
Condominium • Taguig,"Tower 3, Viceroy, McKinley Hill, Taguig","Php 8,000,000",https://www.hoppler.com.ph/taguig-mckinley-hill-viceroy-rs4574781,Available,"June 15, 2022",1,1,1,26 sqm,Fully Furnished,763,2024-10-26
Condominium • Taguig,"Tower D, The Venice Luxury Residences, McKinley Hill, Taguig","Php 20,900,000",https://www.hoppler.com.ph/taguig-mckinley-hill-the-venice-luxury-residences-rs4571781,Available,"June 6, 2022",2,3,1,102 sqm,Fully Furnished,764,2024-10-26
Condominium • Taguig,"Pines 2A Tower, Arbor Lanes, Arca South, Taguig","Php 48,000,000",https://www.hoppler.com.ph/taguig-arca-south-arbor-lanes-rs4572181,Available,"June 8, 2022",3,3,2,171 sqm,,765,2024-10-26
Condominium • Taguig,"One Maridien Tower, BGC - Bonifacio Global City, Taguig","Php 12,500,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-one-maridien-tower-rs4078081,Available,"January 17, 2022",1,1,1,38 sqm,Fully Furnished,766,2024-10-26
Condominium • Taguig,"Tower 2, The Trion Towers, BGC - Bonifacio Global City, Taguig","Php 16,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-the-trion-towers-rs4475481,Available,"February 2, 2022",2,1,2,80 sqm,Fully Furnished,767,2024-10-26
Condominium • Taguig,"Tower 2, The Trion Towers, BGC - Bonifacio Global City, Taguig","Php 12,500,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-the-trion-towers-rs4063681,Available,"January 20, 2022",2,2,1,56 sqm,,768,2024-10-26
Condominium • Taguig,"The Fort Residences, BGC - Bonifacio Global City, Taguig","Php 35,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-the-fort-residences-rs4515781,Available,"March 3, 2022",3,3,1,146 sqm,Semi-Furnished,769,2024-10-26
Condominium • Taguig,"Penhurst Parkplace, BGC - Bonifacio Global City, Taguig","Php 35,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-penhurst-parkplace-rs2982981,Available,"February 18, 2022",2,2,2,142 sqm,Semi-Furnished,770,2024-10-26
Condominium • Taguig,"Avida Towers Vireo, Avida Towers Vireo, Western Bicutan, Taguig","Php 6,800,000",https://www.hoppler.com.ph/taguig-western-bicutan-avida-towers-vireo-rs4495281,Available,"February 2, 2022",1,1,1,37 sqm,,771,2024-10-26
Condominium • Taguig,"Tower 2, Avida Towers BGC 9th Ave., BGC - Bonifacio Global City, Taguig","Php 7,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-avida-towers-bgc-9th-ave-rs4493381,Available,"January 31, 2022",1,1,1,37 sqm,Fully Furnished,772,2024-10-26
Condominium • Taguig,"Belmira Tower, Cypress Towers, Ususan, Taguig","Php 5,200,000",https://www.hoppler.com.ph/taguig-ususan-cypress-towers-rs4491481,Available,"January 29, 2022",2,1,2,54 sqm,Fully Furnished,773,2024-10-26
Condominium • Taguig,"Garnet Tower, Rosewood Pointe, Ususan, Taguig","Php 4,800,000",https://www.hoppler.com.ph/taguig-ususan-rosewood-pointe-rs4476081,Available,"January 21, 2022",2,1,1,56 sqm,Semi-Furnished,774,2024-10-26
Condominium • Taguig,"Icon Plaza, BGC - Bonifacio Global City, Taguig","Php 48,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-icon-plaza-rs3814281,Available,"March 4, 2022",3,3,1,181 sqm,,775,2024-10-26
Condominium • Taguig,"East Gallery Place, BGC - Bonifacio Global City, Taguig","Php 80,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-east-gallery-place-rs3500281,Available,"March 29, 2022",3,4,1,207 sqm,,776,2024-10-26
Condominium • Taguig,"Icon Plaza, BGC - Bonifacio Global City, Taguig","Php 7,500,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-icon-plaza-rs2299681,Available,"March 4, 2022",1,1,1,35 sqm,Fully Furnished,777,2024-10-26
Condominium • Taguig,"Rawai Tower, Acacia Estates Royal Palm Residences, Ususan, Taguig","Php 7,500,000",https://www.hoppler.com.ph/taguig-ususan-acacia-estates-royal-palm-residences-rs4534081,Available,"March 31, 2022",2,1,1,51 sqm,Fully Furnished,778,2024-10-26
Condominium • Taguig,"The Dolce at Two Serendra, BGC - Bonifacio Global City, Taguig","Php 14,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-the-dolce-at-two-serendra-rs4538481,Available,"April 11, 2022",1,1,1,45 sqm,Fully Furnished,779,2024-10-26
Condominium • Taguig,"Verawood Residences, Bambang, Taguig","Php 7,400,000",https://www.hoppler.com.ph/taguig-bambang-verawood-residences-rs4297981,Available,"March 14, 2022",2,1,1,68 sqm,Fully Furnished,780,2024-10-26
Condominium • Taguig,"Tower 1, The Florence, McKinley Hill, Taguig","Php 10,500,000",https://www.hoppler.com.ph/taguig-mckinley-hill-the-florence-rs4535181,Available,"April 2, 2022",1,1,1,44 sqm,,781,2024-10-26
Condominium • Taguig,"Tower 1, Stamford Executive Residence, McKinley Hill, Taguig","Php 3,500,000",https://www.hoppler.com.ph/taguig-mckinley-hill-stamford-executive-residence-rs4535681,Available,"April 4, 2022",1,1,1,22 sqm,Semi-Furnished,782,2024-10-26
Condominium • Taguig,"Central Park West, BGC - Bonifacio Global City, Taguig","Php 95,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-central-park-west-rs4790981,Available,"September 2, 2023",2,2,2,199 sqm,Fully Furnished,783,2024-10-26
Condominium • Taguig,"Tower 1 (Orchid), Grace Residences, Ususan, Taguig","Php 4,000,000",https://www.hoppler.com.ph/taguig-ususan-grace-residences-rs4021981,Available,"November 4, 2023",1,1,1,23 sqm,,784,2024-10-26
Condominium • Taguig,"Grand Hyatt Manila Residences, BGC - Bonifacio Global City, Taguig","Php 42,000,000",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-grand-hyatt-manila-residences-rs4659481,Available,"January 5, 2024",3,2,1,133 sqm,Fully Furnished,785,2024-10-26
